path,category,attribute_1,attribute_2
imgs/men/0.jpg,Sweatshirts,"black, grey",Regular
imgs/men/1.jpg,Jackets,,Regular
imgs/men/2.jpg,Track Pants,,Regular
imgs/men/3.jpg,Jackets,black,Regular
imgs/men/4.jpg,Jackets,,Regular
imgs/men/5.jpg,Jackets,black,Regular
imgs/men/6.jpg,Jackets,black,Regular
imgs/men/7.jpg,Tshirts,blue,Regular
imgs/men/8.jpg,Jackets,black,Regular
imgs/men/9.jpg,Jackets,"blue, navy",Regular
imgs/men/10.jpg,Sweatshirts,yellow,Regular
imgs/men/11.jpg,Jackets,"blue, black",Regular
imgs/men/12.jpg,Jackets,"blue, navy",Regular
imgs/men/13.jpg,Jackets,white,Regular
imgs/men/14.jpg,Jackets,black,Regular
imgs/men/15.jpg,Track Pants,black,Regular
imgs/men/16.jpg,Jackets,white,Regular
imgs/men/17.jpg,Shirts,"green, white",Regular
imgs/men/18.jpg,Jackets,khaki,Regular
imgs/men/19.jpg,Track Pants,,Regular
imgs/men/20.jpg,Track Pants,black,Regular
imgs/men/21.jpg,Jackets,maroon,Regular
imgs/men/22.jpg,Jeans,grey,Regular
imgs/men/23.jpg,Shirts,blue,Regular
imgs/men/24.jpg,Jackets,white,Regular
imgs/men/25.jpg,Jackets,"green, olive",Regular
imgs/men/26.jpg,Jackets,"black, grey",Regular
imgs/men/27.jpg,Track Pants,"grey, black",Regular
imgs/men/28.jpg,Jackets,"blue, navy",Regular
imgs/men/29.jpg,Trousers,black,Regular
imgs/men/30.jpg,Track Pants,"blue, navy",Regular
imgs/men/31.jpg,Sweaters,,
imgs/men/32.jpg,Tshirts,"black, maroon",Regular
imgs/men/33.jpg,Jeans,black,Cropped
imgs/men/34.jpg,Jackets,white,Regular
imgs/men/35.jpg,Jackets,green,Regular
imgs/men/36.jpg,Jackets,black,Regular
imgs/men/37.jpg,Track Pants,,Regular
imgs/men/38.jpg,Jackets,"navy, maroon",Regular
imgs/men/39.jpg,Jeans,blue,Regular
imgs/men/40.jpg,Jackets,,Regular
imgs/men/41.jpg,Tshirts,"blue, navy",Regular
imgs/men/42.jpg,Sweatshirts,"green, olive",Regular
imgs/men/43.jpg,Sweaters,blue,
imgs/men/44.jpg,Jackets,brown,Regular
imgs/men/45.jpg,Jackets,blue,Regular
imgs/men/46.jpg,Jackets,grey,Regular
imgs/men/47.jpg,Jackets,blue,Regular
imgs/men/48.jpg,Jackets,"green, olive",Regular
imgs/men/49.jpg,Track Pants,"grey, black",Regular
imgs/men/50.jpg,Jeans,blue,Regular
imgs/men/51.jpg,Shirts,"red, black",Regular
imgs/men/52.jpg,Jeans,blue,Regular
imgs/men/53.jpg,Track Pants,,Regular
imgs/men/54.jpg,Jackets,"blue, navy",Regular
imgs/men/55.jpg,Shirts,"blue, white",Regular
imgs/men/56.jpg,Sweatshirts,,Regular
imgs/men/57.jpg,Shirts,"blue, grey, navy",Regular
imgs/men/58.jpg,Shirts,pink,Regular
imgs/men/59.jpg,Jackets,,Regular
imgs/men/60.jpg,Sweatshirts,black,Regular
imgs/men/61.jpg,Shirts,"grey, white",Regular
imgs/men/62.jpg,Jackets,"blue, navy",Regular
imgs/men/63.jpg,Sweatshirts,navy,Regular
imgs/men/64.jpg,Shirts,blue,Regular
imgs/men/65.jpg,Track Pants,grey,Regular
imgs/men/66.jpg,Jeans,blue,Cropped
imgs/men/67.jpg,Sweatshirts,"blue, navy",Regular
imgs/men/68.jpg,Jeans,blue,Regular
imgs/men/69.jpg,Jeans,black,Cropped
imgs/men/70.jpg,Jackets,brown,Regular
imgs/men/71.jpg,Shirts,"black, green, olive",Regular
imgs/men/72.jpg,Tshirts,,Regular
imgs/men/73.jpg,Jackets,blue,Regular
imgs/men/74.jpg,Sweatshirts,"green, olive",Regular
imgs/men/75.jpg,Jeans,"blue, navy",Regular
imgs/men/76.jpg,Jackets,black,Regular
imgs/men/77.jpg,Jeans,blue,Regular
imgs/men/78.jpg,Tshirts,grey,Regular
imgs/men/79.jpg,Jackets,blue,Regular
imgs/men/80.jpg,Jeans,blue,Regular
imgs/men/81.jpg,Jackets,black,Regular
imgs/men/82.jpg,Tshirts,"black, orange",Regular
imgs/men/83.jpg,Shirts,"green, olive",Regular
imgs/men/84.jpg,Jackets,,Regular
imgs/men/85.jpg,Jackets,black,Regular
imgs/men/86.jpg,Shirts,,Regular
imgs/men/87.jpg,Jackets,"blue, red",Regular
imgs/men/88.jpg,Sweatshirts,olive,Regular
imgs/men/89.jpg,Jackets,khaki,Regular
imgs/men/90.jpg,Jackets,black,Regular
imgs/men/91.jpg,Jackets,khaki,Regular
imgs/men/92.jpg,Jackets,"green, olive",Regular
imgs/men/93.jpg,Jackets,blue,Regular
imgs/men/94.jpg,Jackets,black,Regular
imgs/men/95.jpg,Sweatshirts,black,Regular
imgs/men/96.jpg,Sweatshirts,yellow,Regular
imgs/men/97.jpg,Tshirts,,Regular
imgs/men/98.jpg,Jackets,,Regular
imgs/men/99.jpg,Jackets,blue,Regular
imgs/men/100.jpg,Sweatshirts,yellow,Regular
imgs/men/101.jpg,Tshirts,,Regular
imgs/men/102.jpg,Jackets,,Regular
imgs/men/103.jpg,Jackets,blue,Regular
imgs/men/104.jpg,Jackets,black,Regular
imgs/men/105.jpg,Jackets,green,Regular
imgs/men/106.jpg,Trousers,"green, olive, black",Regular
imgs/men/107.jpg,Jeans,black,Regular
imgs/men/108.jpg,Jackets,,Regular
imgs/men/109.jpg,Jackets,"blue, navy",Regular
imgs/men/110.jpg,Jeans,blue,Regular
imgs/men/111.jpg,Jackets,black,Regular
imgs/men/112.jpg,Jackets,blue,Regular
imgs/men/113.jpg,Jackets,blue,Regular
imgs/men/114.jpg,Jackets,,Regular
imgs/men/115.jpg,Jackets,blue,Regular
imgs/men/116.jpg,Jeans,grey,Regular
imgs/men/117.jpg,Shirts,white,Regular
imgs/men/118.jpg,Sweatshirts,,Regular
imgs/men/119.jpg,Shirts,"black, red",Regular
imgs/men/120.jpg,Track Pants,,Regular
imgs/men/121.jpg,Shirts,"grey, white",Regular
imgs/men/122.jpg,Shirts,"black, linen, white",Regular
imgs/men/123.jpg,Shirts,"blue, maroon, navy",Regular
imgs/men/124.jpg,Jeans,grey,Regular
imgs/men/125.jpg,Track Pants,,Regular
imgs/men/126.jpg,Track Pants,black,Regular
imgs/men/127.jpg,Shirts,"blue, maroon, navy",Regular
imgs/men/128.jpg,Jackets,blue,Regular
imgs/men/129.jpg,Sweatshirts,black,Regular
imgs/men/130.jpg,Nehru Jackets,beige,
imgs/men/131.jpg,Jeans,black,Regular
imgs/men/132.jpg,Jackets,,Regular
imgs/men/133.jpg,Jeans,black,Cropped
imgs/men/134.jpg,Jeans,"blue, navy",Regular
imgs/men/135.jpg,Jackets,grey,Regular
imgs/men/136.jpg,Track Pants,,Regular
imgs/men/137.jpg,Jeans,blue,Regular
imgs/men/138.jpg,Jackets,white,Regular
imgs/men/139.jpg,Jackets,black,Regular
imgs/men/140.jpg,Sweatshirts,yellow,Regular
imgs/men/141.jpg,Track Pants,,Regular
imgs/men/142.jpg,Jackets,"black, green, olive",Regular
imgs/men/143.jpg,Jeans,white,Regular
imgs/men/144.jpg,Jackets,white,Regular
imgs/men/145.jpg,Jackets,"green, olive",Regular
imgs/men/146.jpg,Jackets,"blue, navy",Regular
imgs/men/147.jpg,Shirts,"blue, navy",Regular
imgs/men/148.jpg,Jackets,"black, grey",Regular
imgs/men/149.jpg,Trousers,grey,Cropped
imgs/men/150.jpg,Jackets,"green, olive",Regular
imgs/men/151.jpg,Jackets,"blue, navy",Regular
imgs/men/152.jpg,Shirts,"blue, navy",Regular
imgs/men/153.jpg,Trousers,grey,Cropped
imgs/men/154.jpg,Shirts,"blue, white",Regular
imgs/men/155.jpg,Jeans,black,Regular
imgs/men/156.jpg,Jackets,green,Regular
imgs/men/157.jpg,Jackets,,Regular
imgs/men/158.jpg,Sweatshirts,,Regular
imgs/men/159.jpg,Tshirts,,Regular
imgs/men/160.jpg,Sweatshirts,"green, olive",Regular
imgs/men/161.jpg,Jackets,,Regular
imgs/men/162.jpg,Tshirts,"blue, white",Regular
imgs/men/163.jpg,Jackets,black,Regular
imgs/men/164.jpg,Shirts,"black, white",Regular
imgs/men/165.jpg,Kurtas,"blue, white",Above Knee
imgs/men/166.jpg,Jackets,blue,Regular
imgs/men/167.jpg,Sweatshirts,black,Regular
imgs/men/168.jpg,Sweatshirts,", blue, navy",Regular
imgs/men/169.jpg,Tshirts,"blue, navy",Regular
imgs/men/170.jpg,Sweaters,,
imgs/men/171.jpg,Jeans,"blue, navy",Regular
imgs/men/172.jpg,Tshirts,green,Regular
imgs/men/173.jpg,Jackets,"green, navy",Regular
imgs/men/174.jpg,Sweatshirts,black,Regular
imgs/men/175.jpg,Track Pants,"blue, navy",Regular
imgs/men/176.jpg,Jackets,blue,Regular
imgs/men/177.jpg,Jackets,,Regular
imgs/men/178.jpg,Jackets,black,Regular
imgs/men/179.jpg,Sweatshirts,maroon,Regular
imgs/men/180.jpg,Sweatshirts,"green, olive",Regular
imgs/men/181.jpg,Jeans,"blue, navy",Regular
imgs/men/182.jpg,Shirts,"blue, red",Regular
imgs/men/183.jpg,Shirts,black,Regular
imgs/men/184.jpg,Jackets,black,Regular
imgs/men/185.jpg,Trousers,"green, olive, white",Regular
imgs/men/186.jpg,Track Pants,,Regular
imgs/men/187.jpg,Jackets,"green, olive, yellow",Regular
imgs/men/188.jpg,Shirts,"blue, red, navy",Regular
imgs/men/189.jpg,Track Pants,black,
imgs/men/190.jpg,Jeans,blue,Regular
imgs/men/191.jpg,Track Pants,black,Regular
imgs/men/192.jpg,Jackets,grey,Regular
imgs/men/193.jpg,Tshirts,"red, white, navy",Regular
imgs/men/194.jpg,Sweatshirts,black,Regular
imgs/men/195.jpg,Jackets,,Regular
imgs/men/196.jpg,Jackets,blue,Regular
imgs/men/197.jpg,Jackets,blue,Regular
imgs/men/198.jpg,Sweatshirts,white,Regular
imgs/men/199.jpg,Jackets,grey,Regular
imgs/men/200.jpg,Trousers,"green, olive",Cropped
imgs/men/201.jpg,Shirts,pink,Regular
imgs/men/202.jpg,Sweatshirts,maroon,Regular
imgs/men/203.jpg,Tracksuits,white,
imgs/men/204.jpg,Jeans,black,Cropped
imgs/men/205.jpg,Jackets,green,Regular
imgs/men/206.jpg,Jackets,white,Regular
imgs/men/207.jpg,Track Pants,,Regular
imgs/men/208.jpg,Sweatshirts,,Regular
imgs/men/209.jpg,Jackets,"blue, navy",Regular
imgs/men/210.jpg,Tights,,
imgs/men/211.jpg,Jackets,"black, yellow",Regular
imgs/men/212.jpg,Sweatshirts,black,Regular
imgs/men/213.jpg,Jackets,blue,Regular
imgs/men/214.jpg,Sweatshirts,"blue, navy",Regular
imgs/men/215.jpg,Jackets,,Regular
imgs/men/216.jpg,Jackets,"green, olive",Regular
imgs/men/217.jpg,Sweatshirts,grey,Regular
imgs/men/218.jpg,Blazers,"black, blue",Regular
imgs/men/219.jpg,Jackets,orange,Regular
imgs/men/220.jpg,Jackets,"blue, navy",Regular
imgs/men/221.jpg,Jeans,", blue",Regular
imgs/men/222.jpg,Trousers,grey,Regular
imgs/men/223.jpg,Sweatshirts,,Regular
imgs/men/224.jpg,Shirts,white,Regular
imgs/men/225.jpg,Jackets,black,Regular
imgs/men/226.jpg,Jackets,black,Longline
imgs/men/227.jpg,Blazers,grey,Regular
imgs/men/228.jpg,Jeans,black,Regular
imgs/men/229.jpg,Shirts,white,Regular
imgs/men/230.jpg,Jeans,black,Regular
imgs/men/231.jpg,Jeans,grey,Regular
imgs/men/232.jpg,Track Pants,black,Regular
imgs/men/233.jpg,Jeans,white,Regular
imgs/men/234.jpg,Jeans,black,Regular
imgs/men/235.jpg,Track Pants,navy,Regular
imgs/men/236.jpg,Jeans,blue,Regular
imgs/men/237.jpg,Jackets,"blue, navy",Regular
imgs/men/238.jpg,Tshirts,blue,Regular
imgs/men/239.jpg,Sweatshirts,blue,Regular
imgs/men/240.jpg,Jeans,blue,Cropped
imgs/men/241.jpg,Jeans,blue,Regular
imgs/men/242.jpg,Shirts,blue,Regular
imgs/men/243.jpg,Track Pants,,Regular
imgs/men/244.jpg,Jackets,blue,Regular
